run_dir,core_limit,engine,query,count,mean_ms,p50_ms,p95_ms,p99_ms,min_ms,max_ms,errors,expect_failures,cpu_count,memory_total_mb
graphrag_eval_v1_20260209_064850,2,neo4j_local,hybrid_search,30,8.027766730325917,5.326715006958693,18.769173981854692,18.991266494849697,4.08992898883298,19.063838990405202,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,neo4j_local,local_search_2hop,30,7.012203399790451,4.72545949742198,19.078522009658627,19.326040006708354,3.174469980876893,19.380850018933415,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,neo4j_local,parent_child_enrichment,30,5.490913207177073,4.3801754945889115,10.760068069794212,12.480832909350283,3.179049992468208,12.95328902779147,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,neo4j_local,global_search,30,4.07228820064726,3.6781695089302957,6.856727015110661,7.543222805252299,2.485389995854348,7.633030007127672,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,neo4j_local,deep_traversal_5hop,30,29.163791772831853,28.267993999179453,33.09171950095333,35.41846720443573,27.46910904534161,36.20069898897782,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,kuzu_local,hybrid_search,30,2.7735439012758434,2.641085011418909,5.40427445375826,5.628364008152857,1.2777699739672244,5.647309997584671,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,kuzu_local,local_search_2hop,30,5.93447142940325,6.485534511739388,7.140426960540935,7.589869225630537,2.729250001721084,7.751840050332248,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,kuzu_local,parent_child_enrichment,30,1.9030246301554143,1.4173199888318777,3.5668494761921465,3.817780877579935,1.2575999717228115,3.9003699785098433,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,kuzu_local,global_search,30,2.277263863167415,1.6186450084205717,3.74620349612087,3.7632306752493605,1.3515700120478868,3.7694189813919365,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,kuzu_local,deep_traversal_5hop,30,27.750896262781072,27.741143974708393,30.690291008795608,32.143982508569025,23.60314899124205,32.582129002548754,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,lance_graph_local,hybrid_search,30,1.9123759935609996,1.914860011311248,2.0003660320071504,2.0065442007035017,1.7646600026637316,2.008020004723221,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,lance_graph_local,local_search_2hop,30,2.760686242254451,2.768204518361017,2.912026984267868,2.950246575055644,2.5896200095303357,2.9521199758164585,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,lance_graph_local,parent_child_enrichment,30,1.6046589667287965,1.6058649634942412,1.7038714955560863,1.7122688062954694,1.5134300338104367,1.713800011202693,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,lance_graph_local,global_search,30,0.868652966649582,0.854749494465068,0.9644475008826703,0.9711044171126559,0.8100999984890223,0.9721600217744708,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064850,2,lance_graph_local,deep_traversal_5hop,30,13.190848234808072,12.934715021401644,14.906945530674415,16.119665885344148,12.428149988409132,16.214289993513376,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,neo4j_local,hybrid_search,30,6.962741461272041,5.227285000728443,15.268670994555576,16.701928012189455,3.5586899612098932,17.18327001435682,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,neo4j_local,local_search_2hop,30,5.8647144605250405,4.401130019687116,11.61689947475679,12.471643462777138,3.296388953458518,12.663338973652571,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,neo4j_local,parent_child_enrichment,30,5.664431868353859,4.574889986542985,11.048369479249228,12.384187617572024,3.1981089850887656,12.681870022788644,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,neo4j_local,global_search,30,3.714673570357263,3.3926494943443686,6.563136505428701,6.929722579661757,1.9372290116734803,7.040519965812564,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,neo4j_local,deep_traversal_5hop,30,26.053648702024173,25.039658998139203,30.926533989259042,34.19280169473495,23.78867904189974,35.415838996414095,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,kuzu_local,hybrid_search,30,2.6990089002841464,3.07466002414003,4.5185204216977555,5.441598892793991,1.3627400039695203,5.636919988319278,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,kuzu_local,local_search_2hop,30,5.456548496537532,5.302449484588578,6.93315806274768,8.160106786526741,2.5298999971710145,8.65138997323811,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,kuzu_local,parent_child_enrichment,30,2.079077468564113,1.569640007801354,3.544523500022478,3.704845796455629,1.2550289975479245,3.7344199954532087,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,kuzu_local,global_search,30,2.043838839745149,1.51368448860012,3.6159245180897415,3.659800013410859,1.3239100226201117,3.6661800113506615,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,kuzu_local,deep_traversal_5hop,30,27.757775302355487,27.514338464243338,31.00437849352602,31.437888076761737,24.36145901447162,31.45969897741452,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,lance_graph_local,hybrid_search,30,1.931035235368957,1.8935794942080975,2.1408000029623504,2.478898176341318,1.6695699887350202,2.5886889779940248,0,0,96,386939.97265625
graphrag_eval_v1_20260209_064912,4,lance_graph_local,local_search_2hop,30,2.7200252011728785,2.7173349808435887,2.8355334856314585,2.8665194171480834,2.5739300181157887,2.8787400224246085,0,0,96,386939.97265625
